Code matériel ;N° de série ;Catégorie ;Modèle ;Marque ;Statut ;Fin de garantie ;Localisation (dernier niveau) ;Entité (dernier niveau) ;Date inventaire ;Date d'installation ;Localisation (complet) ;Entité (complet) 
401949;Q663125052 ;Imprimante Laser ;FS-1370DN ;KYOCERA   ;En service ;;ETAGE 1 ;D.C.R.HUM & SER.ADMIN ;;18/12/2015;A.T.B/LOC2(SNDP)/ETAGE 1 ;DIR/D.C.R.HUM & SER.ADMIN 
401949;1102L03NL0Q663125052 ;Imprimante Laser ;FS-1370DN ;KYOCERA   ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
401950;Q663124418 ;Imprimante Laser ;FS-1370DN ;KYOCERA   ;En service ;;ETAGE 4 ;D.C.QUALITE ;;;A.T.B/LOC2(SNDP)/ETAGE 4 ;DIR/D.C.QUALITE 
401979;Q663125097 ;Imprimante Laser ;FS-1370DN ;KYOCERA   ;En service ;;ETAGE 4 ;D.C.OPERATIONS ;;;A.T.B/LOC3(Med V)/ETAGE 4 ;DIR/D.C.OPERATIONS 
405553;1210D4FE852A ;Ecran ;"21  """;SIEMENS ;En service ;;ETAGE 2 ;D.C.CONT FIN ;;;A.T.B/LOC2(SNDP)/ETAGE 2 ;DIR/D.C.CONT FIN 
700001;YENA505388 ;Ecran ;"19 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700013;YEGG039725 ;Ecran ;"15 """;SIEMENS ;En service ;;ETAGE 3 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 3 ;DIR/D.C.SYS.INFOR 
700017;YE7C009901 ;Ecran ;"19 """;SIEMENS ;En service ;;A.B GUERDENE ;AG_B.GUERDANE ;;;A.T.B/*SUD/A.B GUERDENE ;AG/Z.SUD/AG_B.GUERDANE 
700019;FCZ113074VW ;Routeur ;2811;CISCO ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700045;YEGG039717 ;Ecran ;"15 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700046;YE7C009958 ;Ecran ;"19 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700050;YE7C009946 ;Ecran ;"19 """;SIEMENS ;En service ;;A.B GUERDENE ;AG_B.GUERDANE ;;;A.T.B/*SUD/A.B GUERDENE ;AG/Z.SUD/AG_B.GUERDANE 
700064;100428;Scanner Cheque ;LS515USB ;CTS ;En service ;;A.ARIANA ;AG_ARIANA ;;;A.T.B/*T.NORD/A.ARIANA ;AG/Z.T.NORD/AG_ARIANA 
700068;659847G ;Serveur ;P5 52A ;IBM ;En service ;;A.ARIANA ;AG_ARIANA ;;;A.T.B/*T.NORD/A.ARIANA ;AG/Z.T.NORD/AG_ARIANA 
700070;YENA505379 ;Ecran ;"19 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700082;100456;Scanner Cheque ;LS515USB ;CTS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700100;YENB124361 ;Ecran ;"17 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700104;YENB603376 ;Ecran ;"17 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700106;YVJ056160 ;Ecran ;E20T-6 LED   ;FUJUTSU ;En service ;;ETAGE 4 ;D.C.OPERATIONS ;;;A.T.B/LOC3(Med V)/ETAGE 4 ;DIR/D.C.OPERATIONS 
700107;V1YL687 ;Ecran ;"19 """;SIEMENS ;En service ;;A.ARIANA ;AG_ARIANA ;;;A.T.B/*T.NORD/A.ARIANA ;AG/Z.T.NORD/AG_ARIANA 
700108;YENA505389 ;Ecran ;"17 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700117;YEGG040699 ;Ecran ;"15 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700137;YE7C009947 ;Ecran ;"19 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700141;FHK084711R0 ;Routeur ;1760;CISCO ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700145;FCZ113074VQ ;Routeur ;2811;CISCO ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700151;YENB124359 ;Ecran ;"17 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700155;100383;Scanner Cheque ;LS515USB ;CTS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700159;700159;Armoire ;22 U ;IBM ;En service ;;A.ARIANA ;AG_ARIANA ;;;A.T.B/*T.NORD/A.ARIANA ;AG/Z.T.NORD/AG_ARIANA 
700176;KDHACDP ;Serveur ;X3650 ;IBM ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700178;J07756532 ;Imprimante Laser ;HL-5380DN ;BROTHER ;En service ;;ETAGE 4 ;D.C.OPERATIONS ;;;A.T.B/LOC3(Med V)/ETAGE 4 ;DIR/D.C.OPERATIONS 
700190;YENB124378 ;Ecran ;"17 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700192;YENA505094 ;Ecran ;"19 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700197;8091500089;Switch KVM ;4POTRS ;LEVEL ONE ;En service ;;A.ARIANA ;AG_ARIANA ;;;A.T.B/*T.NORD/A.ARIANA ;AG/Z.T.NORD/AG_ARIANA 
700217;YEGG040714 ;Ecran ;"15 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700224;V2B9251 ;Ecran ;"17 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700232;FAB0321U14T ;Switch ;1900;CISCO ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700235;YENB124368 ;Ecran ;"17 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700240;YENB603318 ;Ecran ;"17 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700250;404227T ;Ecran ;SyncMaster 713N ;SAMSUNG ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700255;V1CAT86 ;Ecran ;"17 """;SIEMENS ;En service ;;ETAGE 3 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 3 ;DIR/D.C.SYS.INFOR 
